rank,addr,count,pid,file_path,file_offset,symbol
1,0x000055e7ce33d29b,42,50794,/home/ssy/lbr/test/test_lbr_sframe,0x129b,bubble_sort+0xce
2,0x000055e7ce33d1f0,42,50794,/home/ssy/lbr/test/test_lbr_sframe,0x11f0,bubble_sort+0x23
3,0x000055e7ce33d28b,22,50794,/home/ssy/lbr/test/test_lbr_sframe,0x128b,bubble_sort+0xbe
4,0x000055e7ce33d222,22,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1222,bubble_sort+0x55
5,0x000055e7ce33d35b,21,50794,/home/ssy/lbr/test/test_lbr_sframe,0x135b,sum_even_numbers+0x17
6,0x000055e7ce33d375,21,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1375,sum_even_numbers+0x31
7,0x000055e7ce33d5e5,14,50794,/home/ssy/lbr/test/test_lbr_sframe,0x15e5,main+0x269
8,0x000055e7ce33d0b0,14,50794,/home/ssy/lbr/test/test_lbr_sframe,0x10b0,sleep@plt
9,0x000055e7ce33d36b,11,50794,/home/ssy/lbr/test/test_lbr_sframe,0x136b,sum_even_numbers+0x27
10,0x000055e7ce33d363,11,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1363,sum_even_numbers+0x1f
11,0x00007f51cd17e74e,9,50794,/usr/lib/libc.so.6,0x4374e,rand+0xe
12,0x000055e7ce33d5ea,9,50794,/home/ssy/lbr/test/test_lbr_sframe,0x15ea,main+0x26e
13,0x00007f51cd17eb00,8,50794,/usr/lib/libc.so.6,0x43b00,random_r
14,0x00007f51cd17e74d,8,50794,/usr/lib/libc.so.6,0x4374d,rand+0xd
15,0x00007f51cd17e9d4,8,50794,/usr/lib/libc.so.6,0x439d4,random+0x84
16,0x00007f51cd17e9a6,8,50794,/usr/lib/libc.so.6,0x439a6,random+0x56
17,0x00007f51cd17eb6c,8,50794,/usr/lib/libc.so.6,0x43b6c,random_r+0x6c
18,0x00007f51cd17e9b6,8,50794,/usr/lib/libc.so.6,0x439b6,random+0x66
19,0x00007f51cd17eb17,8,50794,/usr/lib/libc.so.6,0x43b17,random_r+0x17
20,0x00007f51cd17e9cb,8,50794,/usr/lib/libc.so.6,0x439cb,random+0x7b
21,0x00007f51cd17e9d0,8,50794,/usr/lib/libc.so.6,0x439d0,random+0x80
22,0x00007f51cd17eb38,8,50794,/usr/lib/libc.so.6,0x43b38,random_r+0x38
23,0x000055e7ce33d620,7,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1620,main+0x2a4
24,0x00007f51cd17e740,7,50794,/usr/lib/libc.so.6,0x43740,rand
25,0x00007f51cd17e748,7,50794,/usr/lib/libc.so.6,0x43748,rand+0x8
26,0x00007f51cd17e9c0,7,50794,/usr/lib/libc.so.6,0x439c0,random+0x70
27,0x000055e7ce33d6d9,7,50794,/home/ssy/lbr/test/test_lbr_sframe,0x16d9,main+0x35d
28,0x000055e7ce33d62e,7,50794,/home/ssy/lbr/test/test_lbr_sframe,0x162e,main+0x2b2
29,0x00007f51cd17e950,7,50794,/usr/lib/libc.so.6,0x43950,random
30,0x00007f51cd17e972,7,50794,/usr/lib/libc.so.6,0x43972,random+0x22
31,0x000055e7ce33d635,6,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1635,main+0x2b9
32,0x000055e7ce33d65c,6,50794,/home/ssy/lbr/test/test_lbr_sframe,0x165c,main+0x2e0
33,0x000055e7ce33d643,6,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1643,main+0x2c7
34,0x000055e7ce33d6c8,6,50794,/home/ssy/lbr/test/test_lbr_sframe,0x16c8,main+0x34c
35,0x000055e7ce33d667,6,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1667,main+0x2eb
36,0x000055e7ce33d64a,5,50794,/home/ssy/lbr/test/test_lbr_sframe,0x164a,main+0x2ce
37,0x000055e7ce33d655,5,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1655,main+0x2d9
38,0x000055e7ce33d680,4,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1680,main+0x304
39,0x000055e7ce33d68b,4,50794,/home/ssy/lbr/test/test_lbr_sframe,0x168b,main+0x30f
40,0x000055e7ce33d66e,4,50794,/home/ssy/lbr/test/test_lbr_sframe,0x166e,main+0x2f2
41,0x000055e7ce33d679,4,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1679,main+0x2fd
42,0x000055e7ce33d6af,2,50794,/home/ssy/lbr/test/test_lbr_sframe,0x16af,main+0x333
43,0x000055e7ce33d6a4,2,50794,/home/ssy/lbr/test/test_lbr_sframe,0x16a4,main+0x328
44,0x000055e7ce33d69d,2,50794,/home/ssy/lbr/test/test_lbr_sframe,0x169d,main+0x321
45,0x000055e7ce33d692,2,50794,/home/ssy/lbr/test/test_lbr_sframe,0x1692,main+0x316
46,0x000055e7ce33d69b,2,50794,/home/ssy/lbr/test/test_lbr_sframe,0x169b,main+0x31f
47,0x00007f51cd17eb59,1,50794,/usr/lib/libc.so.6,0x43b59,random_r+0x59
48,0x000055e7ce33d6bf,1,50794,/home/ssy/lbr/test/test_lbr_sframe,0x16bf,main+0x343
49,0x00007f51cd17eb63,1,50794,/usr/lib/libc.so.6,0x43b63,random_r+0x63
50,0x000055e7ce33d6b6,1,50794,/home/ssy/lbr/test/test_lbr_sframe,0x16b6,main+0x33a
