2026/01/13 16:42:18 日志文件: log/lbr_output_20260113_164218.log
2026/01/13 16:42:18 Current nofile rlimit: curr=524287 max=524288
2026/01/13 16:42:18 Monitoring PID: 104715
2026/01/13 16:42:18 LBR demo is running. Press Ctrl-C to exit.
2026/01/13 16:42:18 Attached to 8 CPUs, checking for LBR data every second...
2026/01/13 16:42:19 No LBR data - map中无任何条目
2026/01/13 16:42:20 No LBR data - map中无任何条目
2026/01/13 16:42:21 [DEBUG] NewSFrameResolver: 为PID 104715 创建SFrame解析器
2026/01/13 16:42:21 [DEBUG] NewSFrameResolver: 可执行文件: /home/ssy/lbr/test/test_lbr_sframe
2026/01/13 16:42:21 [DEBUG] loadSFrameData: SFrame Magic=0x502dee2, Version=3
2026/01/13 16:42:21 [DEBUG] NewSFrameResolver: 成功加载SFrame数据
2026/01/13 16:42:21 [DEBUG] loadSymbols: 加载了 31 个符号
2026/01/13 16:42:21 [DEBUG] GetProcessMaps: 读取进程 104715 的内存映射
2026/01/13 16:42:21 [DEBUG] GetProcessMaps: 读取到 24 个内存映射
2026/01/13 16:42:21 [DEBUG] loadBaseAddress: 基址=0x55821b2cb000, 结束=0x55821b2cc000, 偏移=0x1000
2026/01/13 16:42:21 [DEBUG] GetProcessMaps: 读取进程 104715 的内存映射
2026/01/13 16:42:21 [DEBUG] GetProcessMaps: 读取到 24 个内存映射
2026/01/13 16:42:21 [DEBUG] loadLibraryMapping: 加载共享库 /usr/lib/libc.so.6, 符号数: 3114
2026/01/13 16:42:21 [DEBUG] loadLibraryMapping: 加载共享库 /usr/lib/ld-linux-x86-64.so.2, 符号数: 32
2026/01/13 16:42:21 [DEBUG] loadLibraryMappings: 加载了 2 个共享库映射
2026/01/13 16:42:21 [DEBUG] NewSFrameResolver: SFrame解析器创建成功
2026/01/13 16:42:21 已启用 SFrame 符号解析 for PID 104715
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb52b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x152b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x46b
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x440
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb54c
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x154c
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x48c
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x469
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb52b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x152b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x46b
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x440
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb54c
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x154c
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x48c
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x469
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb52b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x152b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x46b
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x440
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb54c
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x154c
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x48c
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x469
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb52b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x152b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x46b
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x440
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb4c0
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x14c0
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x400
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x469
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb55f
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x155f
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x49f
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb4bc
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x14bc
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x3fc
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb527
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1527
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x467
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb54e
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x154e
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x48e
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb52b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x152b
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x46b
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1500
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x440
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb54c
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x154c
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x48c
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 主程序地址，文件偏移 0x1529
2026/01/13 16:42:21 [DEBUG] SFrameResolver: 找到函数 main+0x469
2026/01/13 16:42:21 [DEBUG] SFrameResolver.ResolveAddress: 解析地址 0x55821b2cb52b
