rank,addr,count,pid,file_path,file_offset,symbol
1,0x000055bcf3c1835b,43,102575,/home/ssy/lbr/test/test_lbr_sframe,0x135b,sum_even_numbers+0x17
2,0x000055bcf3c18375,43,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1375,sum_even_numbers+0x31
3,0x000055bcf3c18363,21,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1363,sum_even_numbers+0x1f
4,0x000055bcf3c1836b,21,102575,/home/ssy/lbr/test/test_lbr_sframe,0x136b,sum_even_numbers+0x27
5,0x000055bcf3c1829b,20,102575,/home/ssy/lbr/test/test_lbr_sframe,0x129b,bubble_sort+0xce
6,0x000055bcf3c181f0,20,102575,/home/ssy/lbr/test/test_lbr_sframe,0x11f0,bubble_sort+0x23
7,0x000055bcf3c185e5,14,102575,/home/ssy/lbr/test/test_lbr_sframe,0x15e5,main+0x269
8,0x000055bcf3c180b0,14,102575,/home/ssy/lbr/test/test_lbr_sframe,0x10b0,sleep@plt
9,0x000055bcf3c1828b,12,102575,/home/ssy/lbr/test/test_lbr_sframe,0x128b,bubble_sort+0xbe
10,0x000055bcf3c18222,12,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1222,bubble_sort+0x55
11,0x00007f063f5b49d4,8,102575,/usr/lib/libc.so.6,0x439d4,random+0x84
12,0x00007f063f5b4b6c,8,102575,/usr/lib/libc.so.6,0x43b6c,random_r+0x6c
13,0x00007f063f5b49a6,8,102575,/usr/lib/libc.so.6,0x439a6,random+0x56
14,0x00007f063f5b49b6,8,102575,/usr/lib/libc.so.6,0x439b6,random+0x66
15,0x00007f063f5b474d,8,102575,/usr/lib/libc.so.6,0x4374d,rand+0xd
16,0x00007f063f5b49d0,8,102575,/usr/lib/libc.so.6,0x439d0,random+0x80
17,0x00007f063f5b49cb,7,102575,/usr/lib/libc.so.6,0x439cb,random+0x7b
18,0x00007f063f5b4b17,7,102575,/usr/lib/libc.so.6,0x43b17,random_r+0x17
19,0x00007f063f5b4b00,7,102575,/usr/lib/libc.so.6,0x43b00,random_r
20,0x000055bcf3c185ea,7,102575,/home/ssy/lbr/test/test_lbr_sframe,0x15ea,main+0x26e
21,0x00007f063f5b4740,7,102575,/usr/lib/libc.so.6,0x43740,rand
22,0x000055bcf3c186d9,7,102575,/home/ssy/lbr/test/test_lbr_sframe,0x16d9,main+0x35d
23,0x00007f063f5b4748,7,102575,/usr/lib/libc.so.6,0x43748,rand+0x8
24,0x00007f063f5b474e,7,102575,/usr/lib/libc.so.6,0x4374e,rand+0xe
25,0x00007f063f5b4b38,7,102575,/usr/lib/libc.so.6,0x43b38,random_r+0x38
26,0x00007f063f5b4950,7,102575,/usr/lib/libc.so.6,0x43950,random
27,0x000055bcf3c186c8,7,102575,/home/ssy/lbr/test/test_lbr_sframe,0x16c8,main+0x34c
28,0x000055bcf3c18620,6,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1620,main+0x2a4
29,0x000055bcf3c1865c,6,102575,/home/ssy/lbr/test/test_lbr_sframe,0x165c,main+0x2e0
30,0x000055bcf3c1866e,6,102575,/home/ssy/lbr/test/test_lbr_sframe,0x166e,main+0x2f2
31,0x000055bcf3c1862e,6,102575,/home/ssy/lbr/test/test_lbr_sframe,0x162e,main+0x2b2
32,0x00007f063f5b4972,6,102575,/usr/lib/libc.so.6,0x43972,random+0x22
33,0x00007f063f5b49c0,6,102575,/usr/lib/libc.so.6,0x439c0,random+0x70
34,0x000055bcf3c18679,6,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1679,main+0x2fd
35,0x000055bcf3c18667,6,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1667,main+0x2eb
36,0x000055bcf3c1869d,5,102575,/home/ssy/lbr/test/test_lbr_sframe,0x169d,main+0x321
37,0x000055bcf3c1868b,5,102575,/home/ssy/lbr/test/test_lbr_sframe,0x168b,main+0x30f
38,0x000055bcf3c18692,5,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1692,main+0x316
39,0x000055bcf3c18655,5,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1655,main+0x2d9
40,0x000055bcf3c18680,5,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1680,main+0x304
41,0x000055bcf3c1864a,5,102575,/home/ssy/lbr/test/test_lbr_sframe,0x164a,main+0x2ce
42,0x000055bcf3c18635,4,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1635,main+0x2b9
43,0x000055bcf3c18643,4,102575,/home/ssy/lbr/test/test_lbr_sframe,0x1643,main+0x2c7
44,0x000055bcf3c186ad,3,102575,/home/ssy/lbr/test/test_lbr_sframe,0x16ad,main+0x331
45,0x000055bcf3c1863e,2,102575,/home/ssy/lbr/test/test_lbr_sframe,0x163e,main+0x2c2
46,0x000055bcf3c186a4,2,102575,/home/ssy/lbr/test/test_lbr_sframe,0x16a4,main+0x328
47,0x000055bcf3c186af,2,102575,/home/ssy/lbr/test/test_lbr_sframe,0x16af,main+0x333
48,0x00007f063f5b4b60,1,102575,/usr/lib/libc.so.6,0x43b60,random_r+0x60
49,0x00007f063f5b4b73,1,102575,/usr/lib/libc.so.6,0x43b73,random_r+0x73
50,0x00007f063f5b4b5e,1,102575,/usr/lib/libc.so.6,0x43b5e,random_r+0x5e
